food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g
12,"Vitamin A, RAE","Vitamin A, RAE",G,0,0.000002
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.0005,0.000241
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.000006,0.000004
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000262,0.000228
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000317,0.0003
12,"Vitamin A, RAE","Vitamin A, RAE",G,0,0.000001
2,"Vitamin A, RAE","Vitamin A, RAE",G,0.000005,0.000004
9,"Vitamin A, RAE","Vitamin A, RAE",G,0.000004,0.000004
9,"Vitamin A, RAE","Vitamin A, RAE",G,0.000017,0.000021
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00033,0.000316
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000068,0.000069
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000223,0.000203
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000001,0.000001
1,"Vitamin A, RAE","Vitamin A, RAE",G,0,0
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00012,0.000127
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000058,0.000058
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000061,0.000064
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000055,0.000083
7,"Vitamin A, RAE","Vitamin A, RAE",G,0.000025,0.000018
7,"Vitamin A, RAE","Vitamin A, RAE",G,0.00001,0.000022
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000046,0.000032
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.000031,0.000008
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000684,0.000758
9,"Vitamin A, RAE","Vitamin A, RAE",G,0.000003,0.000001
14,"Vitamin A, RAE","Vitamin A, RAE",G,0.000043,0.0000414
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.000469,0.000306
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000317,0.0003
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000058,0.000058
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000061,0.000064
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000055,0.000083
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000046,0.000032
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0000012,0.00000106
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000012,0.00000106
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0000012,0.0000011
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000012,0.0000011
