food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g,SReachcat_x,SReachcat_y
12,"Vitamin A, RAE","Vitamin A, RAE",G,0.0,2e-06,0.0,3e-06
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.0005,0.000241,0.0011920000000000001,0.000607
11,"Vitamin A, RAE","Vitamin A, RAE",G,6e-06,4e-06,0.0011920000000000001,0.000607
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000262,0.000228,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000317,0.0003,0.003882,0.004036
12,"Vitamin A, RAE","Vitamin A, RAE",G,0.0,1e-06,0.0,3e-06
2,"Vitamin A, RAE","Vitamin A, RAE",G,5e-06,4e-06,5e-06,4e-06
9,"Vitamin A, RAE","Vitamin A, RAE",G,4e-06,4e-06,2.4e-05,2.6e-05
9,"Vitamin A, RAE","Vitamin A, RAE",G,1.7e-05,2.1e-05,2.4e-05,2.6e-05
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00033,0.000316,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,6.8e-05,6.9e-05,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000223,0.000203,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,1e-06,1e-06,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.0,0.0,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00012,0.000127,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,5.8e-05,5.8e-05,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,6.1e-05,6.4e-05,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,5.5e-05,8.3e-05,0.003882,0.004036
7,"Vitamin A, RAE","Vitamin A, RAE",G,2.5e-05,1.8e-05,3.5000000000000004e-05,3.9999999999999996e-05
7,"Vitamin A, RAE","Vitamin A, RAE",G,1e-05,2.2e-05,3.5000000000000004e-05,3.9999999999999996e-05
1,"Vitamin A, RAE","Vitamin A, RAE",G,4.6e-05,3.2e-05,0.003882,0.004036
11,"Vitamin A, RAE","Vitamin A, RAE",G,3.1e-05,8e-06,0.0011920000000000001,0.000607
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000684,0.000758,0.003882,0.004036
9,"Vitamin A, RAE","Vitamin A, RAE",G,3e-06,1e-06,2.4e-05,2.6e-05
14,"Vitamin A, RAE","Vitamin A, RAE",G,4.3e-05,4.14e-05,4.3e-05,4.14e-05
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.000469,0.000306,0.0011920000000000001,0.000607
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.000317,0.0003,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,5.8e-05,5.8e-05,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,6.1e-05,6.4e-05,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,5.5e-05,8.3e-05,0.003882,0.004036
1,"Vitamin A, RAE","Vitamin A, RAE",G,4.6e-05,3.2e-05,0.003882,0.004036
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,1.2e-06,1.06e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1.2e-06,1.06e-06,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,1.2e-06,1.1e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1.2e-06,1.1e-06,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,1.2e-06,1.13e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1.2e-06,1.13e-06,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,2.6e-06,2.3e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,2.6e-06,2.3e-06,5.76e-05,5.8358e-05
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0,0.0,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0,0.0,5.71e-05,5.8142699999999995e-05
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0,0.0,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,7.5e-06,7.5e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,7.5e-06,7.5e-06,5.76e-05,5.8358e-05
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,8.3e-06,9.7e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,8.3e-06,9.7e-06,5.76e-05,5.8358e-05
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,6e-06,5.8e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,6e-06,5.8e-06,5.76e-05,5.8358e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1.04e-05,1.57e-05,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,1.04e-05,1.57e-05,5.71e-05,5.8142699999999995e-05
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0,0.0,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0,0.0,5.71e-05,5.8142699999999995e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,1e-06,1e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1e-06,1e-06,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,1.2e-06,1.06e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1.2e-06,1.06e-06,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,1.2e-06,1.1e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1.2e-06,1.1e-06,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,1.2e-06,1.13e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1.2e-06,1.13e-06,5.76e-05,5.8358e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1.3e-06,9.6e-07,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,1.3e-06,9.6e-07,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,2e-06,2.46e-06,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,2e-06,2.46e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0,4e-07,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0,4e-07,5.71e-05,5.8142699999999995e-05
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,7e-07,4.06e-08,2.99e-05,1.7185e-06
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,7e-07,4.063e-08,2.99e-05,1.71455e-06
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,4e-07,5.62e-08,2.99e-05,1.7185e-06
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,4e-07,5.625e-08,2.99e-05,1.71455e-06
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,2e-07,2.17e-08,2.99e-05,1.7185e-06
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,2e-07,2.167e-08,2.99e-05,1.71455e-06
16,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1.2e-06,6.81e-07,2.4e-06,1.362e-06
16,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,1.2e-06,6.814e-07,2.4e-06,1.3628e-06
